id_venda;cod_vendedor;cod_produto;cod_departamento;dtc_venda;qtd_venda;val_venda;num_nota
62;8;21;5;10/11/2015;3;2100;215
63;7;13;6;18/02/2015;3;3.2;490
64;9;4;6;23/03/2014;1;1300;641
65;5;20;4;23/11/2014;1;350;347
66;6;7;4;16/09/2015;3;52.9;699
67;2;14;3;17/11/2015;3;25;323
68;4;22;5;10/11/2014;1;1600;762
69;12;15;5;19/03/2015;1;98.5;934
70;10;21;2;11/04/2014;1;2100;1326
71;10;22;5;15/04/2015;3;1600;1494
72;6;22;5;15/01/2015;1;1600;234
73;9;19;1;08/02/2015;2;1500;1327
74;12;3;3;01/07/2015;1;342.09;1437
75;10;4;1;07/01/2015;3;1300;933
76;10;3;1;08/11/2015;2;342.09;707
77;3;3;1;16/09/2015;3;342.09;829
78;3;7;4;02/06/2015;3;52.9;947
79;4;8;2;25/04/2014;3;875;14
80;9;22;6;11/01/2014;2;1600;79
81;8;11;3;02/10/2015;3;0.5;827
82;12;14;1;01/12/2014;3;25;556
83;10;4;3;26/05/2014;3;1300;623
84;8;21;4;05/02/2015;1;2100;36
85;4;18;5;05/03/2015;2;850;536
86;9;2;3;19/10/2015;3;25.9;936
87;8;21;4;16/12/2014;3;2100;37
88;5;22;6;05/01/2014;2;1600;710
89;2;2;1;06/02/2014;1;25.9;13
90;1;15;6;11/03/2015;3;98.5;754
91;4;2;5;03/10/2015;1;25.9;1259
92;4;16;2;21/03/2014;3;135;141
93;12;3;4;03/07/2014;3;342.09;1322
94;12;8;4;24/07/2014;3;875;969
95;11;3;6;01/04/2014;2;342.09;683
96;2;14;4;02/05/2015;2;25;927
97;10;15;4;12/08/2014;3;98.5;1493
98;12;6;1;19/12/2014;1;550;40
99;12;10;6;15/04/2014;1;2.15;952
100;4;3;3;01/02/2014;1;342.09;252
101;7;9;3;10/01/2015;3;12.25;197
102;4;19;2;23/11/2015;2;1500;422
103;4;15;6;21/03/2015;2;98.5;81
104;2;13;6;03/10/2014;1;3.2;1428
105;6;12;4;26/05/2015;3;5.3;286
106;4;11;6;23/03/2014;2;0.5;1487
107;7;16;2;16/10/2015;1;135;308
108;3;20;5;27/04/2015;2;350;257
109;9;17;2;25/08/2014;1;1075;1293
110;2;6;5;22/04/2014;3;550;916
111;4;10;6;01/03/2015;2;2.15;208
112;12;23;5;19/01/2015;1;300;177
113;4;10;1;10/09/2014;3;2.15;1386
114;2;19;5;19/04/2015;1;1500;1391
115;8;8;4;14/06/2015;3;875;657
116;8;2;1;24/12/2015;2;25.9;710
117;8;11;6;12/12/2015;1;0.5;527
118;5;14;3;11/11/2014;2;25;418
119;9;2;6;24/06/2015;2;25.9;622
120;1;14;6;19/02/2014;3;25;924
121;12;23;5;04/09/2015;1;300;100
122;12;6;6;12/11/2014;2;550;349
123;5;5;4;17/11/2015;2;2125.99;214
124;2;22;3;03/10/2015;3;1600;435
125;2;1;4;19/08/2015;1;25.15;49
126;9;13;2;10/12/2014;3;3.2;1407
127;4;16;6;11/05/2015;3;135;743
128;10;11;1;15/12/2014;1;0.5;1435
129;8;14;2;20/12/2015;1;25;1348
130;5;8;3;24/08/2014;3;875;1199
131;8;3;6;19/11/2015;1;342.09;115
132;1;17;1;10/05/2014;2;1075;432
133;4;3;1;13/01/2014;1;342.09;1134
134;5;8;4;08/02/2014;1;875;559
135;12;11;3;02/01/2015;3;0.5;695
136;5;15;3;20/08/2014;1;98.5;1024
137;1;16;5;02/05/2015;1;135;645
138;5;18;2;20/06/2014;3;850;240
139;9;2;3;04/02/2015;3;25.9;1357
140;11;23;4;16/05/2014;1;300;291
141;8;3;5;22/08/2014;2;342.09;1360
142;1;20;2;09/01/2015;1;350;155
143;4;12;3;22/08/2015;2;5.3;947
144;12;16;4;16/08/2014;1;135;255
145;4;8;1;21/12/2015;2;875;21
146;5;20;3;04/11/2015;1;350;140
147;7;15;4;27/04/2014;2;98.5;1488
148;9;1;4;11/09/2014;2;25.15;71
149;11;10;2;14/02/2015;3;2.15;808
150;1;4;6;15/08/2015;3;1300;225
151;10;10;1;23/08/2014;2;2.15;914
152;7;7;6;16/09/2014;3;52.9;180
153;1;4;4;16/02/2015;1;1300;959
154;8;5;6;19/08/2014;2;2125.99;1059
155;1;3;4;05/11/2014;3;342.09;569
156;1;2;6;06/09/2015;1;25.9;1250
157;9;18;6;15/11/2014;1;850;1094
158;2;14;6;05/12/2015;2;25;1005
159;12;12;1;25/03/2015;3;5.3;710
160;8;7;2;12/11/2015;1;52.9;136
161;1;22;4;17/03/2015;3;1600;1079
162;2;18;1;22/08/2015;2;850;1267
163;2;14;6;24/09/2015;1;25;746
164;5;3;6;28/04/2014;1;342.09;99
165;9;1;6;27/11/2014;1;25.15;1192
166;9;8;5;04/06/2015;1;875;377
167;1;5;5;27/01/2015;1;2125.99;359
168;1;17;2;12/09/2015;2;1075;1429
169;6;13;6;22/11/2015;2;3.2;1194
170;3;22;4;19/05/2015;1;1600;768
171;11;9;1;03/04/2015;3;12.25;268
172;12;2;1;26/10/2015;2;25.9;1091
173;9;19;1;11/12/2014;1;1500;1113
174;9;19;2;27/07/2014;3;1500;1253
175;11;1;4;10/02/2014;1;25.15;1478
176;2;13;4;10/12/2014;2;3.2;1394
177;11;16;4;25/03/2014;3;135;884
178;2;18;3;09/02/2014;2;850;718
179;7;23;2;20/10/2015;1;300;883
180;5;9;6;22/04/2015;3;12.25;426
181;7;7;1;26/07/2015;2;52.9;241
182;5;20;3;17/11/2015;3;350;761
183;4;18;2;16/04/2015;2;850;633
184;2;10;1;20/03/2014;1;2.15;137
185;8;17;2;21/04/2015;1;1075;1171
186;8;4;2;03/01/2015;3;1300;1011
187;4;4;3;13/07/2014;3;1300;1390
188;1;1;6;22/08/2014;3;25.15;401
189;11;18;1;17/08/2015;3;850;904
190;8;4;5;19/07/2015;2;1300;879
191;11;20;5;14/06/2015;1;350;1398
192;5;11;5;05/01/2015;2;0.5;1236
193;1;5;3;21/07/2014;2;2125.99;1083
194;3;12;6;01/04/2014;2;5.3;62
195;6;9;6;02/10/2015;1;12.25;875
196;11;16;2;28/06/2015;1;135;1250
197;4;6;3;17/04/2015;3;550;83
198;5;11;5;05/09/2015;1;0.5;272
199;10;13;4;16/03/2014;1;3.2;169
200;10;9;4;17/12/2015;2;12.25;1392
201;8;4;2;21/01/2014;3;1300;1093
202;10;23;1;06/12/2015;1;300;1343
203;10;12;4;18/11/2015;3;5.3;1238
204;6;23;3;09/12/2014;1;300;1157
205;10;20;5;21/12/2014;2;350;867
206;8;10;4;03/05/2015;1;2.15;1338
207;6;17;4;24/10/2015;3;1075;766
208;12;2;6;13/12/2014;1;25.9;219
209;1;22;3;27/05/2014;2;1600;363
210;5;11;3;09/08/2014;3;0.5;4
211;7;11;4;01/02/2014;1;0.5;1283
212;1;3;6;16/06/2015;2;342.09;510
213;1;10;1;22/11/2014;3;2.15;4
214;4;2;3;17/02/2014;1;25.9;187
215;3;21;2;21/09/2014;1;2100;79
216;8;21;5;16/05/2015;2;2100;1037
217;2;21;3;24/11/2014;1;2100;132
218;3;13;4;28/09/2014;2;3.2;713
219;1;18;3;04/02/2014;1;850;527
220;11;18;1;23/06/2015;1;850;968
221;9;20;6;23/12/2015;2;350;155
222;11;8;4;15/02/2014;3;875;30
223;8;4;4;03/06/2014;2;1300;1463
224;1;13;5;06/02/2014;2;3.2;1231
225;11;18;6;19/06/2014;2;850;1077
226;5;6;6;10/01/2015;1;550;922
227;10;15;3;13/02/2015;3;98.5;779
228;12;10;3;27/04/2014;3;2.15;1401
229;12;5;3;07/03/2014;2;2125.99;381
230;10;22;3;12/06/2014;1;1600;34
231;1;3;1;04/11/2015;3;342.09;1483
232;5;11;5;13/09/2015;3;0.5;1057
233;8;3;6;22/07/2015;1;342.09;240
234;1;7;3;20/03/2015;1;52.9;837
235;2;13;5;28/01/2015;3;3.2;1346
236;8;6;4;15/03/2014;2;550;75
237;1;4;5;02/07/2015;3;1300;1345
238;11;8;3;09/12/2015;1;875;637
239;3;21;6;10/05/2015;2;2100;67
240;9;13;3;09/05/2015;2;3.2;1478
241;3;13;3;04/07/2015;1;3.2;40
242;10;6;3;13/06/2015;2;550;1461
243;8;23;1;16/12/2015;3;300;557
244;7;1;2;04/07/2014;1;25.15;209
245;11;16;3;27/05/2014;2;135;1209
246;6;17;3;09/07/2014;1;1075;350
247;12;18;2;26/06/2015;2;850;37
248;10;22;3;08/12/2015;1;1600;806
249;5;5;5;20/09/2014;3;2125.99;364
250;11;10;6;25/12/2014;1;2.15;157
251;8;12;2;20/12/2014;1;5.3;209
252;5;22;2;21/02/2015;1;1600;277
253;4;6;4;22/08/2014;2;550;875
254;3;7;3;24/01/2014;3;52.9;373
255;6;16;4;09/08/2014;2;135;39
256;11;14;3;08/03/2015;3;25;1292
257;7;6;5;08/04/2015;3;550;595
258;9;21;5;02/05/2015;3;2100;168
259;1;3;5;08/06/2014;2;342.09;387
260;12;6;3;19/03/2015;1;550;708
261;8;19;3;22/01/2015;2;1500;139
262;8;17;5;28/09/2014;2;1075;155
263;6;21;6;11/08/2015;1;2100;1321
264;2;20;4;13/11/2014;1;350;289
265;8;1;5;02/11/2014;3;25.15;1434
266;4;15;5;17/10/2014;3;98.5;1035
267;9;22;3;13/08/2014;1;1600;1308
268;8;6;2;21/03/2014;2;550;337
269;6;14;4;02/07/2014;1;25;444
270;11;13;4;05/08/2015;2;3.2;296
271;3;9;2;05/11/2014;2;12.25;427
272;7;9;2;03/07/2015;2;12.25;90
273;6;8;1;03/03/2014;1;875;7
274;1;7;1;13/03/2014;2;52.9;792
275;8;12;5;03/02/2015;3;5.3;1034
276;2;15;4;21/03/2015;2;98.5;1200
277;9;9;2;20/01/2015;3;12.25;1355
278;7;20;4;20/03/2014;1;350;102
279;4;4;4;22/11/2015;3;1300;798
280;7;12;4;26/11/2014;2;5.3;1197
281;7;15;5;20/06/2015;1;98.5;192
282;6;21;3;07/12/2014;2;2100;1286
283;10;6;2;22/09/2014;3;550;1332
284;1;3;5;03/09/2015;1;342.09;1201
285;1;16;1;12/10/2015;1;135;1463
286;7;12;3;23/11/2014;2;5.3;469
287;1;10;2;28/04/2015;3;2.15;417
288;1;15;4;23/06/2015;2;98.5;1028
289;1;19;4;19/11/2015;3;1500;104
290;1;18;4;01/01/2015;3;850;668
291;3;23;2;19/07/2014;1;300;1011
292;9;1;6;17/10/2015;2;25.15;1257
293;4;21;3;09/02/2014;3;2100;1128
294;5;14;6;18/07/2014;2;25;1009
295;8;20;6;09/06/2014;2;350;108
296;2;9;5;08/08/2015;2;12.25;163
297;10;17;5;28/11/2014;3;1075;955
298;10;4;3;10/01/2015;2;1300;527
299;2;22;2;19/08/2014;1;1600;1341
300;4;21;5;03/07/2014;2;2100;469
301;8;18;4;23/11/2015;2;850;1336
302;12;3;1;18/06/2014;3;342.09;704
303;8;5;4;19/12/2014;3;2125.99;1159
304;6;20;4;20/07/2015;3;350;543
305;11;19;4;20/11/2014;2;1500;1218
306;5;1;2;08/02/2014;3;25.15;811
307;1;19;6;03/05/2014;3;1500;668
308;6;13;6;03/07/2015;1;3.2;546
309;3;23;5;26/05/2015;3;300;863
310;1;21;4;09/01/2015;2;2100;799
311;5;14;5;26/08/2014;2;25;1063
312;3;7;6;06/01/2014;2;52.9;903
313;3;10;4;20/07/2014;3;2.15;1151
314;2;11;5;26/09/2015;3;0.5;1448
315;1;3;5;05/06/2015;1;342.09;923
316;6;5;4;04/12/2014;1;2125.99;944
317;3;14;2;26/04/2014;3;25;968
318;7;7;3;13/11/2015;1;52.9;738
319;11;19;2;27/06/2014;2;1500;1456
320;3;4;6;23/10/2015;3;1300;172
321;6;12;4;17/09/2015;2;5.3;694
322;4;3;4;07/04/2015;3;342.09;414
323;11;4;5;01/08/2014;3;1300;937
324;5;20;2;07/12/2014;3;350;1183
325;7;19;6;04/07/2015;3;1500;877
326;3;23;2;12/11/2015;3;300;1346
327;2;19;2;09/04/2015;1;1500;474
328;7;13;6;09/12/2015;1;3.2;449
329;4;9;6;27/07/2015;3;12.25;150
330;10;12;3;16/03/2014;1;5.3;447
331;7;17;6;05/05/2015;2;1075;1220
332;5;16;3;05/06/2014;2;135;787
333;10;14;5;21/07/2014;3;25;338
334;2;23;2;15/02/2014;1;300;995
335;2;6;1;10/10/2014;1;550;398
336;5;9;5;02/03/2015;2;12.25;1197
337;10;6;5;19/03/2014;3;550;756
338;2;20;3;15/01/2014;2;350;363
339;7;15;5;13/11/2014;1;98.5;1260
340;10;5;2;05/11/2014;3;2125.99;729
341;11;2;6;20/04/2014;3;25.9;569
342;6;3;4;11/11/2015;2;342.09;984
343;5;14;2;28/07/2015;3;25;458
344;7;11;2;24/02/2015;1;0.5;922
345;10;13;5;20/07/2014;1;3.2;643
346;10;4;3;26/08/2015;1;1300;1191
347;5;8;6;07/03/2015;3;875;171
348;10;8;3;06/09/2014;1;875;1388
349;6;17;4;21/06/2015;1;1075;1104
350;6;14;2;05/12/2014;3;25;1419
351;7;19;1;20/12/2014;1;1500;1348
352;4;19;5;13/03/2015;2;1500;993
353;1;4;4;27/03/2015;2;1300;247
354;9;13;1;08/03/2015;3;3.2;1293
355;5;21;2;26/07/2015;1;2100;869
356;4;6;4;28/01/2015;2;550;1119
357;11;12;4;23/10/2015;1;5.3;1208
358;11;21;3;25/07/2014;1;2100;1027
359;4;18;3;24/01/2015;2;850;127
360;8;10;5;08/07/2015;3;2.15;67
361;6;4;4;27/07/2014;1;1300;747
362;7;1;2;16/09/2014;2;25.15;1256
363;8;12;3;03/01/2014;1;5.3;377
364;2;20;3;14/01/2014;3;350;1413
365;7;22;5;08/08/2015;2;1600;1040
366;4;21;2;05/05/2014;2;2100;368
367;9;11;3;01/04/2014;3;0.5;469
368;9;3;6;20/11/2014;1;342.09;357
369;2;8;5;14/04/2014;2;875;81
370;4;16;4;27/04/2014;3;135;486
371;5;12;3;04/02/2015;2;5.3;357
372;7;3;4;19/11/2014;3;342.09;100
373;12;16;2;25/12/2014;2;135;752
374;11;1;4;02/10/2015;1;25.15;801
375;5;14;2;02/07/2014;2;25;961
376;4;19;5;16/01/2014;2;1500;764
377;10;9;6;23/10/2014;2;12.25;1098
378;2;23;2;13/11/2014;2;300;1241
379;9;10;4;12/03/2015;1;2.15;1311
380;7;21;3;26/07/2014;2;2100;632
381;8;3;2;05/05/2014;1;342.09;100
382;6;7;4;19/01/2015;1;52.9;655
383;10;19;3;23/04/2015;2;1500;180
384;1;15;5;17/06/2015;1;98.5;1089
385;5;4;2;11/08/2014;1;1300;605
386;4;14;6;26/07/2015;3;25;749
387;9;9;2;01/02/2015;3;12.25;770
388;5;19;6;23/06/2014;1;1500;1058
389;9;17;1;19/12/2014;3;1075;6
390;5;2;1;22/05/2015;3;25.9;326
391;1;17;3;07/03/2014;1;1075;76
392;11;18;2;07/10/2014;3;850;912
393;10;13;4;12/03/2014;3;3.2;1039
394;11;3;3;21/07/2014;3;342.09;1399
395;12;20;5;24/04/2014;3;350;1081
396;3;3;5;08/05/2015;3;342.09;446
397;12;16;2;19/02/2014;2;135;236
398;2;19;1;26/02/2015;3;1500;1019
399;5;13;4;09/12/2015;2;3.2;1283
400;7;6;6;05/05/2015;2;550;1303
401;6;18;6;12/08/2014;2;850;510
402;2;3;4;13/05/2015;1;342.09;341
403;12;2;5;05/01/2015;1;25.9;195
404;2;5;2;11/05/2015;3;2125.99;1045
405;10;23;2;13/12/2014;2;300;1055
406;2;8;5;08/10/2014;2;875;766
407;9;10;5;24/01/2014;2;2.15;1203
408;3;23;1;26/08/2014;2;300;419
409;7;10;5;18/07/2014;1;2.15;960
410;2;6;4;05/08/2014;2;550;1318
411;10;11;6;01/05/2014;1;0.5;377
412;10;10;6;23/12/2014;3;2.15;491
413;2;23;2;05/04/2015;3;300;1238
414;4;8;5;13/06/2015;3;875;963
415;7;1;5;22/12/2014;2;25.15;1062
416;7;16;5;25/01/2014;3;135;1490
417;10;4;4;20/10/2015;2;1300;813
418;3;14;5;22/08/2014;2;25;1261
419;9;18;2;20/07/2015;1;850;249
420;4;11;1;08/10/2014;1;0.5;766
421;3;22;4;10/07/2014;3;1600;1440
422;10;10;3;27/03/2014;1;2.15;1111
423;11;12;5;28/07/2014;3;5.3;1063
424;9;12;2;20/06/2014;1;5.3;309
425;8;12;3;25/04/2015;2;5.3;361
426;1;6;5;03/07/2015;3;550;980
427;3;5;3;10/02/2015;3;2125.99;754
428;2;18;2;18/09/2015;2;850;1112
429;2;15;6;18/07/2014;1;98.5;1161
430;7;17;2;12/11/2015;2;1075;127
431;8;9;3;18/07/2015;2;12.25;1372
432;6;19;3;14/10/2015;3;1500;1165
433;8;9;3;25/09/2014;1;12.25;1294
434;6;12;4;17/08/2015;2;5.3;178
435;6;21;6;04/03/2014;3;2100;129
436;6;14;1;08/04/2015;2;25;540
437;8;1;5;27/05/2015;1;25.15;555
438;8;16;4;24/05/2014;3;135;1050
439;1;14;5;25/04/2014;1;25;1234
440;3;6;2;05/01/2014;1;550;447
441;6;5;5;27/02/2014;2;2125.99;813
442;10;1;2;28/12/2015;3;25.15;1212
443;5;23;6;11/01/2015;1;300;188
444;6;9;3;25/04/2015;1;12.25;833
445;6;4;1;06/07/2014;1;1300;1498
446;4;16;3;22/08/2015;2;135;1096
447;6;17;2;17/12/2015;2;1075;556
448;12;14;2;07/11/2015;3;25;523
449;6;23;6;14/04/2015;2;300;838
450;10;13;6;20/01/2015;2;3.2;480
451;11;1;1;08/03/2015;2;25.15;333
452;10;19;6;19/04/2014;1;1500;1276
453;1;23;2;28/04/2015;1;300;1180
454;7;23;4;20/11/2014;3;300;216
455;10;3;2;18/09/2015;2;342.09;344
456;11;1;1;16/05/2014;3;25.15;194
457;3;23;5;04/10/2015;1;300;1107
458;9;6;1;09/02/2015;1;550;180
459;9;7;5;17/12/2014;1;52.9;765
460;9;2;2;02/10/2014;2;25.9;17
461;1;22;4;10/12/2014;1;1600;453
462;8;17;2;27/07/2015;2;1075;383
463;7;18;2;12/07/2014;3;850;164
464;12;6;5;27/05/2014;2;550;1007
465;2;3;6;20/06/2015;2;342.09;755
466;8;1;3;20/10/2015;1;25.15;364
467;6;4;5;25/12/2014;1;1300;1491
468;12;4;4;24/08/2014;2;1300;858
469;1;5;2;07/01/2015;3;2125.99;1088
470;8;1;5;21/09/2015;1;25.15;803
471;1;23;5;26/09/2015;3;300;722
472;3;8;6;25/04/2014;1;875;708
473;2;15;5;19/12/2015;2;98.5;389
474;11;4;1;24/09/2015;1;1300;737
475;6;23;2;15/01/2015;3;300;1325
476;11;22;3;19/05/2015;1;1600;94
477;11;10;2;06/08/2014;1;2.15;188
478;3;6;4;24/01/2014;2;550;610
479;11;19;5;25/03/2015;2;1500;839
480;6;8;3;14/01/2015;3;875;578
481;12;16;4;02/02/2014;2;135;1187
482;3;9;2;10/09/2014;2;12.25;1247
483;3;20;6;26/01/2015;3;350;152
484;2;15;4;13/08/2014;3;98.5;933
485;8;17;1;04/08/2014;3;1075;321
486;1;17;1;09/05/2015;3;1075;1282
487;7;13;3;06/09/2014;3;3.2;715
488;5;4;1;16/01/2014;2;1300;1160
489;7;18;5;11/06/2014;2;850;1481
490;1;11;1;14/08/2014;3;0.5;1458
491;9;23;4;01/10/2015;3;300;1415
492;1;16;3;02/06/2014;2;135;343
493;8;20;3;26/02/2015;1;350;1446
494;5;19;6;17/09/2014;3;1500;236
495;3;4;3;22/01/2015;3;1300;1357
496;4;6;1;13/09/2014;2;550;374
497;7;16;1;19/09/2015;3;135;1081
498;7;10;5;19/11/2014;3;2.15;995
499;8;17;5;27/06/2014;3;1075;821
500;3;5;1;19/04/2014;2;2125.99;865
501;8;2;2;06/07/2015;1;25.9;534
502;6;21;6;19/04/2014;1;2100;785
503;1;12;5;13/06/2014;1;5.3;758
504;11;22;6;27/06/2014;3;1600;82
505;7;13;3;02/04/2014;1;3.2;303
506;1;10;4;11/05/2014;1;2.15;777
507;9;13;3;09/01/2014;1;3.2;518
508;10;5;2;08/03/2015;1;2125.99;402
509;3;16;5;20/10/2015;1;135;4
510;10;21;4;19/01/2015;2;2100;1164
511;2;19;4;05/07/2014;1;1500;884
512;3;12;3;22/01/2014;1;5.3;421
513;8;14;5;25/02/2015;2;25;777
514;6;14;3;24/06/2015;3;25;1137
515;9;10;5;22/04/2014;1;2.15;660
516;4;12;4;24/12/2014;1;5.3;518
517;8;23;5;01/05/2015;1;300;628
518;3;4;3;14/09/2014;3;1300;577
519;9;14;5;07/12/2014;1;25;621
520;8;3;4;16/07/2015;3;342.09;337
521;8;4;6;24/08/2015;1;1300;1311
522;12;1;5;05/01/2015;1;25.15;562
523;5;17;6;02/02/2015;3;1075;790
524;4;5;3;11/06/2015;1;2125.99;199
525;1;13;3;25/01/2015;1;3.2;54
526;3;10;3;22/08/2015;1;2.15;50
527;10;19;3;13/03/2014;2;1500;1087
528;2;4;2;04/01/2014;3;1300;118
529;8;6;1;01/04/2014;3;550;586
530;6;13;6;16/10/2014;2;3.2;358
531;3;20;1;24/01/2014;2;350;130
532;5;20;3;22/08/2014;2;350;761
533;5;6;5;15/12/2015;2;550;583
534;10;7;5;13/11/2015;2;52.9;1403
535;3;10;6;27/03/2015;2;2.15;241
536;7;6;2;05/05/2015;3;550;640
537;3;6;6;10/08/2014;1;550;1129
538;7;7;2;08/09/2015;1;52.9;1398
539;8;9;2;13/11/2014;3;12.25;1432
540;3;4;2;23/05/2014;3;1300;1258
541;6;16;6;16/11/2014;3;135;67
542;9;23;2;15/09/2015;2;300;1378
543;3;11;2;04/01/2015;2;0.5;1365
544;9;5;3;19/03/2015;2;2125.99;989
545;7;14;4;12/12/2015;3;25;880
546;3;10;1;14/03/2015;1;2.15;782
547;1;4;6;04/02/2015;3;1300;1327
548;2;19;4;05/10/2015;1;1500;831
549;4;2;6;23/04/2015;1;25.9;301
550;8;7;4;11/02/2015;1;52.9;1156
551;3;1;2;24/12/2014;3;25.15;1300
552;12;6;2;14/08/2014;3;550;460
553;11;12;6;06/05/2014;3;5.3;1457
554;2;10;1;18/02/2014;2;2.15;1006
555;9;5;2;04/03/2015;2;2125.99;482
556;12;12;5;02/09/2014;2;5.3;826
557;10;10;5;08/06/2014;2;2.15;57
558;6;13;4;01/12/2015;1;3.2;814
559;11;20;6;09/09/2015;1;350;1310
560;11;14;1;02/10/2014;1;25;201
561;7;4;5;02/05/2014;2;1300;392
562;3;20;3;10/09/2015;2;350;753
563;6;1;1;15/07/2014;3;25.15;781
564;6;11;4;18/03/2014;3;0.5;798
565;10;2;3;25/10/2015;2;25.9;884
566;7;5;1;13/04/2015;3;2125.99;51
567;2;4;2;02/09/2014;1;1300;1381
568;10;1;1;02/11/2015;2;25.15;1422
569;2;13;5;23/03/2014;1;3.2;707
570;8;13;1;26/08/2014;3;3.2;1219
571;10;8;2;20/07/2015;2;875;790
572;4;4;1;10/09/2015;2;1300;750
573;12;4;1;12/07/2015;2;1300;797
574;9;18;2;03/04/2014;3;850;1095
575;6;4;5;05/01/2015;2;1300;821
576;4;15;6;14/05/2015;3;98.5;908
577;10;13;1;06/06/2014;2;3.2;531
578;12;6;1;06/05/2014;3;550;1452
579;2;19;3;10/07/2014;2;1500;493
580;10;17;2;01/05/2014;3;1075;177
581;4;10;6;20/07/2014;1;2.15;1242
582;1;20;5;05/05/2014;1;350;1124
583;9;8;5;27/02/2015;3;875;774
584;4;13;3;04/05/2014;1;3.2;309
585;11;21;3;14/01/2015;1;2100;1241
586;7;18;5;16/10/2015;1;850;1486
587;2;10;5;23/12/2014;1;2.15;424
588;1;19;5;09/04/2014;3;1500;863
589;7;4;2;24/05/2015;3;1300;118
590;3;5;3;15/05/2015;3;2125.99;799
591;7;6;1;21/01/2014;2;550;919
592;1;21;2;24/05/2014;2;2100;1042
593;4;19;4;23/02/2014;3;1500;1368
594;10;18;5;05/05/2014;1;850;502
595;1;8;3;23/02/2014;3;875;1248
596;6;16;2;03/01/2014;1;135;1343
597;11;15;1;20/10/2014;2;98.5;565
598;12;16;3;13/10/2014;1;135;845
599;10;2;2;22/07/2015;1;25.9;698
600;1;8;2;23/04/2014;1;875;528
601;7;14;4;17/03/2014;3;25;1147
602;9;21;2;23/06/2015;1;2100;892
603;8;20;2;23/09/2015;3;350;885
604;11;8;1;02/04/2014;2;875;311
605;11;22;5;14/03/2014;1;1600;1130
606;10;16;1;13/06/2015;2;135;730
607;10;7;5;26/10/2015;2;52.9;1121
608;5;16;2;23/06/2014;3;135;446
609;11;3;1;17/02/2015;2;342.09;838
610;9;6;4;22/12/2014;1;550;1139
611;10;16;2;28/12/2015;1;135;1060
612;4;18;4;14/05/2015;1;850;793
613;7;12;6;22/05/2015;3;5.3;447
614;4;14;2;23/08/2014;1;25;492
615;8;2;6;13/10/2014;3;25.9;1156
616;12;16;4;08/02/2015;3;135;392
617;4;8;1;10/07/2015;2;875;582
